S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
1,11% NIC Asia Debenture 082/83,2,998.00,998.00,998.00,160.00,159680.00,999.00,-1.00 ,                                             ,
2,12 % Goodwill Finance Limited Debenture 2083,2,1070.10,1070.00,1070.10,35.00,37451.00,1071.10,-1.00 ,                                             ,
3,12% ICFC Finance Limited Debenture 2083,2,1070.00,1070.00,1070.00,100.00,107000.00,1070.00,0.00 ,                                            ,
4,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,19,833.00,820.00,830.00,721.00,598463.90,845.00,-15.00 ,                                             ,
5,Agricultural Development Bank Limited,217,352.00,343.10,343.50,18065.00,6240715.40,350.00,-6.50 ,                                             ,
6,Ajod Insurance Limited,25,509.00,482.00,509.00,1393.00,678931.00,500.00,9.00 ,                                            ,
7,Ankhu Khola Jalvidhyut Company Ltd,172,224.00,217.30,219.00,26837.00,5892631.70,221.40,-2.40 ,                                             ,
8,Api Power Company Ltd.,680,282.00,266.00,270.00,136695.00,37159446.00,279.60,-9.60 ,                                             ,
9,Arun Kabeli Power Ltd.,359,460.00,448.00,448.00,55239.00,24879103.30,454.00,-6.00 ,                                             ,
10,Arun Valley Hydropower Development Co. Ltd.,421,404.00,392.30,397.00,84069.00,33400456.10,400.00,-3.00 ,                                             ,
11,Asha Laghubitta Bittiya Sanstha Ltd,5,1310.70,1252.50,1252.50,42.00,53917.00,1285.00,-32.50 ,                                             ,
12,Asian Life Insurance Co. Limited,302,580.00,544.00,555.00,40964.00,22743956.20,580.00,-25.00 ,                                             ,
13,Balephi Hydropower Limited,9,168.60,153.30,168.60,70.00,11323.70,153.30,15.30 ,                                            ,
14,Bank of Kathmandu Ltd.,144,228.00,221.00,226.90,23285.00,5203695.50,227.00,-0.10 ,                                             ,
15,Barun Hydropower Co. Ltd.,134,459.00,443.00,445.00,16410.00,7361124.70,460.40,-15.40 ,                                             ,
16,Best Finance Company Ltd.,71,392.00,380.00,382.10,7890.00,3025209.50,387.00,-4.90 ,                                             ,
17,Bishal Bazar Company Limited,12,3630.00,3600.00,3600.00,163.00,589830.00,3610.00,-10.00 ,                                             ,
18,Bottlers Nepal (Terai) Limited,25,13362.00,12838.00,12975.00,519.00,6775870.00,13279.00,-304.00 ,                                             ,
19,Buddha Bhumi Nepal Hydropower Company Limited,45,413.50,401.00,402.00,995.00,402333.00,409.00,-7.00 ,                                             ,
20,Butwal Power Company Limited,129,347.00,336.00,337.20,14760.00,5012961.70,346.00,-8.80 ,                                             ,
