Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
2022060304007158,AKPL,21,28,50,448,22400.00
2022060304007157,AKPL,50,28,120,448,53760.00
2022060304007156,AKPL,29,28,10,448,4480.00
2022060304007155,AKPL,50,28,191,448,85568.00
2022060304007154,AKPL,51,28,50,449,22450.00
2022060304007153,AKPL,14,28,250,449,112250.00
2022060304007152,AKPL,50,28,100,449,44900.00
2022060304007151,AKPL,51,28,65,449,29185.00
2022060303009497,CIT,35,32,10,2460,24600.00
2022060301008619,NCCB,56,34,160,215,34400.00
2022060301008618,NCCB,56,50,200,214.9,42980.00
2022060301008617,NCCB,56,58,200,214.8,42960.00
2022060301008616,NCCB,56,17,68,214.8,14606.40
2022060301008615,NCCB,56,34,390,214.8,83772.00
2022060301008614,NCCB,56,29,562,214,120268.00
2022060301008613,NCCB,56,51,20,213.9,4278.00
2022060304007150,GLH,45,8,10,367,3670.00
2022060301008612,NBL,52,4,42,294,12348.00
2022060303009496,ALBSL,45,52,10,1252.5,12525.00
2022060301008611,PRVU,14,41,23,241,5543.00
